iter	Passed	Remaining
445	1248	1551
446	1251	1548
447	1254	1546
448	1257	1543
449	1260	1540
450	1264	1539
451	1270	1540
452	1274	1539
453	1295	1557
454	1298	1555
455	1301	1552
456	1304	1550
457	1309	1549
458	1312	1546
459	1314	1543
460	1317	1540
461	1320	1537
462	1323	1534
463	1326	1531
464	1328	1528
465	1331	1526
466	1335	1524
467	1340	1523
468	1343	1520
469	1345	1517
470	1348	1515
471	1351	1511
472	1354	1509
473	1357	1506
474	1360	1503
475	1363	1500
476	1366	1497
477	1369	1495
478	1372	1492
479	1374	1489
480	1377	1486
481	1380	1483
482	1383	1480
483	1387	1478
484	1389	1475
485	1392	1472
486	1395	1469
487	1397	1466
488	1401	1464
489	1404	1461
490	1407	1459
491	1410	1456
492	1413	1453
493	1416	1450
494	1419	1447
495	1421	1444
496	1424	1441
497	1427	1438
498	1430	1436
499	1433	1433
500	1436	1430
501	1438	1427
502	1441	1423
503	1443	1420
504	1446	1418
505	1449	1414
506	1451	1411
507	1454	1408
508	1457	1405
509	1460	1403
510	1463	1400
511	1465	1396
512	1468	1393
513	1470	1390
514	1473	1387
515	1477	1385
516	1479	1382
517	1482	1379
518	1485	1376
519	1487	1373
520	1492	1372
521	1495	1369
522	1498	1366
523	1501	1364
524	1505	1362
525	1508	1359
526	1511	1356
527	1514	1353
528	1516	1350
529	1520	1347
530	1523	1345
531	1525	1342
532	1528	1339
533	1531	1336
534	1534	1333
535	1537	1330
536	1540	1327
537	1542	1324
538	1545	1321
539	1548	1318
540	1550	1315
541	1553	1312
542	1555	1309
543	1558	1306
544	1561	1303
545	1563	1300
546	1567	1298
547	1569	1294
548	1572	1291
549	1575	1288
550	1577	1285
551	1580	1282
552	1583	1279
553	1585	1276
554	1588	1273
555	1590	1270
556	1592	1266
557	1595	1264
558	1599	1261
559	1601	1258
560	1604	1255
561	1607	1252
562	1609	1249
563	1613	1247
564	1616	1244
565	1620	1242
566	1623	1239
567	1626	1236
568	1629	1234
569	1631	1231
570	1634	1227
571	1636	1224
572	1638	1221
573	1641	1218
574	1644	1215
575	1648	1213
576	1651	1210
577	1654	1207
578	1659	1206
579	1661	1203
580	1664	1200
581	1667	1197
582	1669	1194
583	1672	1191
584	1675	1188
585	1677	1185
586	1680	1182
587	1682	1178
588	1685	1175
589	1688	1173
590	1690	1170
591	1693	1167
592	1695	1163
593	1698	1160
594	1701	1158
595	1704	1155
596	1707	1152
597	1710	1149
598	1713	1147
599	1716	1144
600	1719	1141
601	1722	1138
602	1724	1135
603	1727	1132
604	1730	1129
605	1732	1126
606	1735	1123
607	1737	1120
608	1740	1117
609	1742	1114
610	1745	1111
611	1748	1108
612	1751	1105
613	1753	1102
614	1756	1099
615	1759	1096
616	1761	1093
617	1764	1090
618	1767	1087
619	1769	1084
620	1772	1081
621	1775	1078
622	1777	1075
623	1780	1072
624	1782	1069
625	1786	1067
626	1788	1064
627	1791	1060
628	1793	1058
629	1796	1055
630	1798	1051
631	1802	1049
632	1804	1046
633	1808	1043
634	1811	1041
635	1814	1038
636	1816	1035
637	1820	1033
638	1823	1030
639	1826	1027
640	1829	1024
641	1831	1021
642	1834	1018
643	1837	1015
644	1840	1012
645	1843	1010
646	1845	1007
647	1848	1003
648	1850	1000
649	1852	997
650	1855	994
651	1859	992
652	1862	989
653	1865	986
654	1867	983
655	1871	981
656	1873	978
657	1876	975
658	1879	972
659	1881	969
660	1884	966
661	1887	963
662	1890	960
663	1893	958
664	1896	955
665	1900	952
666	1903	950
667	1905	947
668	1908	944
669	1911	941
670	1915	939
671	1918	936
672	1921	933
673	1923	930
674	1926	927
675	1929	924
676	1933	922
677	1935	919
678	1938	916
679	1941	913
680	1944	910
681	1947	907
682	1949	905
683	1952	902
684	1955	899
685	1957	896
686	1960	893
687	1963	890
688	1966	887
689	1968	884
690	1971	881
691	1974	878
692	1977	876
693	1980	873
694	1983	870
695	1987	868
696	1990	865
697	1994	862
698	1997	860
699	2000	857
700	2004	854
701	2007	852
702	2010	849
703	2014	847
704	2017	844
705	2021	841
706	2025	839
707	2029	836
708	2033	834
709	2037	832
710	2040	829
711	2045	827
712	2047	824
713	2050	821
714	2054	818
715	2056	815
716	2059	812
717	2062	810
718	2065	807
719	2069	804
720	2072	801
721	2074	798
722	2077	796
723	2080	793
724	2084	790
725	2087	787
726	2089	784
727	2092	781
728	2095	778
729	2098	776
730	2101	773
731	2104	770
732	2106	767
733	2109	764
734	2114	762
735	2117	759
736	2120	756
737	2123	753
738	2126	750
739	2129	748
740	2132	745
741	2135	742
742	2138	739
743	2141	736
744	2145	734
745	2148	731
746	2151	728
747	2154	725
748	2157	723
749	2160	720
750	2163	717
751	2168	715
752	2171	712
753	2175	709
754	2177	706
755	2180	703
756	2183	700
757	2186	697
758	2189	695
759	2192	692
760	2195	689
761	2198	686
762	2201	683
763	2205	681
764	2208	678
765	2211	675
766	2213	672
767	2216	669
768	2219	666
769	2222	663
770	2225	660
771	2227	657
772	2230	655
773	2233	652
774	2236	649
775	2239	646
776	2241	643
777	2244	640
778	2246	637
779	2250	634
780	2252	631
781	2256	628
782	2259	626
783	2263	623
784	2270	621
785	2273	619
786	2277	616
787	2280	613
788	2283	610
789	2286	607
790	2289	604
791	2292	601
792	2297	599
793	2300	596
794	2305	594
795	2308	591
796	2313	589
797	2316	586
798	2319	583
799	2323	580
800	2328	578
801	2331	575
802	2335	572
803	2338	569
804	2342	567
805	2345	564
806	2348	561
807	2351	558
808	2353	555
809	2357	552
810	2359	549
811	2363	547
812	2366	544
813	2369	541
814	2373	538
815	2375	535
816	2379	532
817	2382	530
818	2384	526
819	2388	524
820	2391	521
821	2395	518
822	2398	515
823	2401	512
824	2404	510
825	2407	507
826	2411	504
827	2414	501
828	2418	498
829	2422	496
830	2424	493
831	2427	490
832	2430	487
833	2433	484
834	2436	481
835	2440	478
836	2442	475
837	2445	472
838	2448	469
839	2452	467
840	2456	464
841	2459	461
842	2465	459
843	2468	456
844	2471	453
845	2475	450
846	2480	448
847	2483	445
848	2486	442
849	2489	439
850	2493	436
851	2499	434
852	2503	431
853	2506	428
854	2512	426
855	2515	423
856	2518	420
857	2521	417
858	2526	414
859	2529	411
860	2532	408
861	2536	406
862	2539	403
863	2542	400
864	2545	397
865	2547	394
866	2550	391
867	2554	388
868	2557	385
869	2561	382
870	2564	379
871	2567	376
872	2570	373
873	2573	370
874	2576	368
875	2579	365
876	2583	362
877	2586	359
878	2589	356
879	2591	353
880	2594	350
881	2597	347
882	2600	344
883	2602	341
884	2605	338
885	2608	335
886	2611	332
887	2613	329
888	2616	326
889	2619	323
890	2621	320
891	2624	317
892	2627	314
893	2629	311
894	2632	308
895	2635	305
896	2638	302
897	2640	299
898	2643	297
899	2647	294
900	2649	291
901	2653	288
902	2655	285
903	2658	282
904	2662	279
905	2664	276
906	2667	273
907	2670	270
908	2673	267
909	2676	264
910	2679	261
911	2682	258
912	2685	255
913	2687	252
914	2690	249
915	2693	247
916	2696	244
917	2698	241
918	2701	238
919	2704	235
920	2707	232
921	2709	229
922	2712	226
923	2714	223
924	2717	220
925	2720	217
926	2723	214
927	2725	211
928	2728	208
929	2731	205
930	2733	202
931	2737	199
932	2739	196
933	2742	193
934	2745	190
935	2748	187
936	2753	185
937	2756	182
938	2758	179
939	2761	176
940	2763	173
941	2767	170
942	2770	167
943	2774	164
944	2776	161
945	2781	158
946	2784	155
947	2788	152
948	2790	149
949	2796	147
950	2800	144
951	2803	141
952	2805	138
953	2809	135
954	2813	132
955	2816	129
956	2818	126
957	2821	123
958	2824	120
959	2827	117
960	2830	114
961	2833	111
962	2835	108
963	2838	106
964	2841	103
965	2845	100
966	2848	97
967	2851	94
968	2854	91
969	2856	88
970	2859	85
971	2862	82
972	2865	79
973	2868	76
974	2870	73
975	2874	70
976	2876	67
977	2879	64
978	2882	61
979	2884	58
980	2887	55
981	2890	52
982	2893	50
983	2896	47
984	2899	44
985	2902	41
986	2907	38
987	2910	35
988	2912	32
989	2915	29
990	2918	26
991	2922	23
992	2924	20
993	2927	17
994	2930	14
995	2932	11
996	2935	8
997	2939	5
998	2941	2
999	2944	0
