iter	RMSE
149	0.7622150204
150	0.7597230522
151	0.7533223882
152	0.7479905499
153	0.7462128239
154	0.7424392462
155	0.7373622404
156	0.7334102613
157	0.7287255123
158	0.726898114
159	0.7221753344
160	0.720073069
161	0.7162037239
162	0.7105797097
163	0.7086031206
164	0.7024090465
165	0.6972571282
166	0.6926327497
167	0.6859680628
168	0.6847422748
169	0.6829213114
170	0.6791214354
171	0.6753454141
172	0.672720423
173	0.6717099628
174	0.669747645
175	0.6661578085
176	0.6640789456
177	0.6612069288
178	0.6600646576
179	0.6564187597
180	0.6549433188
181	0.6537363443
182	0.6489588339
183	0.6463102057
184	0.6420233911
185	0.639221403
186	0.6347679323
187	0.6332849667
188	0.630137361
189	0.6285170874
190	0.6237229182
191	0.619653235
192	0.6177758653
193	0.6160761004
194	0.6151697005
195	0.6140697852
196	0.612677316
197	0.6105170665
198	0.6096458984
199	0.608850044
200	0.6079729835
201	0.6069418827
202	0.6058501216
203	0.6049042716
204	0.6036432727
205	0.6016240705
206	0.6001383589
207	0.5969722085
208	0.5928902459
209	0.5890677241
210	0.5884233224
211	0.587492687
212	0.5843491085
213	0.5835567513
214	0.5829699556
215	0.5823944559
216	0.5786407656
217	0.5776212133
218	0.5769415344
219	0.573528706
220	0.5729684032
221	0.5688833968
222	0.5683336564
223	0.5655908831
224	0.5646118498
225	0.5615836802
226	0.5610981969
227	0.5584748704
228	0.5555533291
229	0.5526754673
230	0.5511272882
231	0.5484534675
232	0.5462178409
233	0.5455686443
234	0.5449709167
235	0.54356454
236	0.5402390076
237	0.5378006009
238	0.5374007303
239	0.5349976589
240	0.5346061899
241	0.5340245459
242	0.5321809746
243	0.5297045123
244	0.5273916196
245	0.527013113
246	0.5264001325
247	0.5239382483
248	0.5234964067
249	0.5227357097
250	0.5222883653
251	0.52193783
252	0.5208810164
253	0.5204650098
254	0.5185975492
255	0.5182795757
256	0.5149191069
257	0.514257571
258	0.5123319222
259	0.5108978902
260	0.5087601512
261	0.5074154906
262	0.5070669422
263	0.5048723574
264	0.5046174926
265	0.5035874463
266	0.5013518241
267	0.4990694631
268	0.4985263302
269	0.4962837688
270	0.4950814111
271	0.4944636168
272	0.4935908485
273	0.4926782096
274	0.4924633973
275	0.4921558835
276	0.4914241646
277	0.4889736263
278	0.4871517522
279	0.4843306283
280	0.4829588014
281	0.4802465968
282	0.4796285694
283	0.4779770925
284	0.4765021811
285	0.4762343832
286	0.4760620384
287	0.4738956821
288	0.4727323414
289	0.4724814036
290	0.4704676368
291	0.4685123233
292	0.4678538796
293	0.4672795264
294	0.4667148394
295	0.4648994337
296	0.4623514498
297	0.4622054606
298	0.4600615592
299	0.4580257188
300	0.4578869467
301	0.4556020453
302	0.4543900757
303	0.4521642158
304	0.450600368
305	0.4483866602
306	0.4460444131
307	0.444140438
308	0.4424436784
309	0.4406971105
310	0.4390670317
311	0.4383206084
312	0.4373030725
313	0.4359153558
314	0.4340491183
315	0.4333176307
316	0.4320245406
317	0.4310613911
318	0.4287849051
319	0.428429971
320	0.4265331546
321	0.4261903179
322	0.4249900009
323	0.4236942212
324	0.4214205115
325	0.4202361393
326	0.4193025967
327	0.4178608487
328	0.4159234292
329	0.4144256079
330	0.4124447003
331	0.4112415424
332	0.4099404823
333	0.4085839559
334	0.4074572333
335	0.4062168206
336	0.4047805952
337	0.4036968514
338	0.4017911179
339	0.3999562114
340	0.3982084608
341	0.3970638068
342	0.3957317678
343	0.3945353436
344	0.3936563781
345	0.3919130515
346	0.39126504
347	0.3897593993
348	0.3882823817
349	0.3874084093
350	0.3856709015
351	0.3842933223
352	0.3831526357
353	0.3818244424
354	0.3807014447
355	0.379517462
356	0.37768573
357	0.3759331636
358	0.3749223659
359	0.3739519972
360	0.3723326567
361	0.37146404
362	0.3697453851
363	0.3681894955
364	0.3677129314
365	0.3668075192
366	0.3654455381
367	0.3641233128
368	0.3627710525
369	0.3618077755
370	0.3604344051
371	0.3586146505
372	0.3574223252
373	0.3567474252
374	0.3558258652
375	0.3554607872
376	0.3537720648
377	0.3529775442
378	0.3512484798
379	0.3501139224
380	0.3493973343
381	0.347845215
382	0.3466336952
383	0.3451455292
384	0.3444180338
385	0.3439263964
386	0.3425931567
387	0.3412773225
388	0.3403954098
389	0.3389644396
390	0.3375981924
391	0.3365118283
392	0.3353392981
393	0.3347077761
394	0.334104302
395	0.3330423309
396	0.3321111088
397	0.3316984429
398	0.3308993961
399	0.3297438804
400	0.3285485976
401	0.3272469924
402	0.32650688
403	0.3253339106
404	0.3244617158
405	0.3235434505
406	0.3228386423
407	0.3215907418
408	0.3208302482
409	0.3200139168
410	0.3188424154
411	0.3181743072
412	0.3173069746
413	0.3167529775
414	0.3160103127
415	0.3150222812
416	0.3140128844
417	0.313251955
418	0.3122936883
419	0.3115294169
420	0.31085713
421	0.3095585104
422	0.3081846201
423	0.3071339554
424	0.3066066554
425	0.3056945226
426	0.3049536821
427	0.3044393612
428	0.3036439381
429	0.3031104331
430	0.3023540648
431	0.3016680595
432	0.3006123628
433	0.2999787747
434	0.2992446607
435	0.2983612424
436	0.2975994252
437	0.296703167
438	0.296078353
439	0.2955857909
440	0.2946719622
441	0.293948333
442	0.2937305398
443	0.2927829977
444	0.2916883836
445	0.2912810351
446	0.2899804689
447	0.2895655419
448	0.2883955588
449	0.2878446719
450	0.2872877657
451	0.2869610342
452	0.2860758489
453	0.285679393
454	0.2848557669
455	0.2836815792
456	0.2829223247
457	0.2822672749
458	0.2817532297
459	0.2809577848
460	0.2800717731
461	0.2791655805
462	0.2784383092
463	0.2773653247
464	0.2767975158
465	0.2764124947
466	0.2761173517
467	0.2750484114
468	0.2745696755
469	0.2735229399
470	0.2724467806
471	0.2717399009
472	0.2708548798
473	0.269911471
474	0.268991386
475	0.2682047727
476	0.2675833031
477	0.2670324909
478	0.2662917687
479	0.2660243023
480	0.2649766746
481	0.2643252232
482	0.2640255822
483	0.2632252679
484	0.2623728751
485	0.2614432706
486	0.2605521149
487	0.2600329262
488	0.2597681632
489	0.2588120123
490	0.2578289238
491	0.2569842258
492	0.2567267687
493	0.2561705949
494	0.2556141698
495	0.255052029
496	0.2545891848
497	0.2539035947
498	0.2532890456
499	0.2527741575
500	0.2523318534
501	0.251636769
502	0.251386764
503	0.2511559563
504	0.2502262875
505	0.2493900223
506	0.2489957416
507	0.2486885756
508	0.2483417263
509	0.247590334
510	0.2467890394
511	0.2459155314
512	0.2453634906
513	0.2446998305
514	0.2442725908
515	0.2435359744
516	0.2429244708
517	0.2423425404
518	0.2415770218
519	0.2409327458
520	0.2400684395
521	0.2396353471
522	0.2390591806
523	0.2388333682
524	0.2386241988
525	0.2378188738
526	0.2374656242
527	0.2366852206
528	0.2363030796
529	0.2356202187
530	0.2353129919
531	0.2346920106
532	0.2340619563
533	0.2334776753
534	0.2329627612
535	0.2324277303
536	0.2316895597
537	0.2310314637
538	0.2306385332
539	0.2302122023
540	0.2294156142
541	0.2291134878
542	0.2287709135
543	0.2280423621
544	0.2274377431
545	0.2266518927
546	0.2262950789
547	0.2259992698
548	0.2255882948
549	0.2249323625
550	0.2245059267
551	0.2241444093
552	0.223909063
553	0.2234492648
554	0.2230517376
555	0.2224244448
556	0.2221603061
557	0.22169872
558	0.2214502101
559	0.2211271313
560	0.2209487912
561	0.2204861008
562	0.2198702724
563	0.2191232718
564	0.2184432478
565	0.2181172766
566	0.2175078479
567	0.216784762
568	0.2162137595
569	0.2158678004
570	0.2154249045
571	0.214882704
572	0.2145132933
573	0.2142392855
574	0.214021902
575	0.2137592912
576	0.2130795293
577	0.2128803417
578	0.2123277912
579	0.2116077938
580	0.2112029668
581	0.2110556274
582	0.2104101732
583	0.2098872704
584	0.2092627117
585	0.2088570541
586	0.2081726624
587	0.2076695831
588	0.2072228175
589	0.2067155331
590	0.2063737476
591	0.2059921542
592	0.2058676801
593	0.2056910101
594	0.2051400547
595	0.2045729322
596	0.2041091303
597	0.2038071744
598	0.2034822988
599	0.2029010845
600	0.2024229226
601	0.2022402545
602	0.2020651767
603	0.2015323321
604	0.201145901
605	0.2006551794
606	0.2002246379
607	0.2001105167
608	0.1997417861
609	0.1995323729
610	0.1993375152
611	0.1988920973
612	0.1987345827
613	0.1983543387
614	0.1981590356
615	0.1978691015
616	0.1975192368
617	0.1970081573
618	0.1964444647
619	0.1959872903
620	0.1956527041
621	0.1951414891
622	0.1949882974
623	0.19469075
624	0.1940455143
625	0.1936166196
626	0.1932918814
627	0.1927064576
628	0.1925239304
629	0.1922394039
630	0.1916279487
631	0.1911680921
632	0.1909855394
633	0.1907044554
634	0.1899811938
635	0.1895647326
636	0.1893933439
637	0.1889531039
638	0.1885789482
639	0.1880995264
640	0.1877323988
641	0.1871749435
642	0.1869798163
643	0.1866236241
644	0.1864847158
645	0.1861773627
646	0.1856544327
647	0.1851077126
648	0.1847594759
649	0.1846597213
650	0.1843926913
651	0.1839196909
652	0.1833839181
653	0.1829736256
654	0.1825900757
655	0.1823056239
656	0.1818000807
657	0.1815242795
658	0.1813867869
659	0.1812539544
660	0.1807592232
661	0.1804472537
662	0.1801014154
663	0.1798732526
664	0.1795599619
665	0.1793700077
666	0.1789509875
667	0.1784869408
668	0.1779795043
669	0.1775994348
670	0.1772060626
671	0.1768024516
672	0.176370096
673	0.1760944467
674	0.1759282921
675	0.1754642381
676	0.1751711816
677	0.1749312543
678	0.1744959016
679	0.1741885527
680	0.1738439736
681	0.1735308489
682	0.173302876
683	0.1731797187
684	0.1727908477
685	0.1723802193
686	0.1721378063
687	0.1718951419
688	0.1714368018
689	0.1710015446
690	0.1707172288
691	0.1706122927
692	0.170325583
693	0.1699389205
694	0.1698874747
695	0.1696133147
696	0.1692941434
697	0.1689652598
698	0.1686766339
699	0.168323683
700	0.1681589758
701	0.1677713019
702	0.1674741462
703	0.1673142622
704	0.166945857
705	0.1665840837
706	0.1660777896
707	0.1657665482
708	0.1656112584
709	0.1654096761
710	0.16515417
711	0.1649441718
712	0.1645042623
713	0.1642120789
714	0.164032916
715	0.1637513218
716	0.163382914
717	0.1632436361
718	0.1630874488
719	0.1627813362
720	0.1624485038
721	0.1621690394
722	0.1616218478
723	0.1614870408
724	0.1612707069
725	0.1609019615
726	0.1605221496
727	0.1602410937
728	0.1599252636
729	0.1597011649
730	0.1595226614
731	0.1593076437
732	0.158961462
733	0.1585228344
734	0.1581020905
735	0.1577666703
736	0.1573366717
737	0.1570128275
738	0.1568134034
739	0.1566503442
740	0.1564214742
741	0.1560916668
742	0.1559806159
743	0.155611138
744	0.1553460978
745	0.1550276203
746	0.1548319683
747	0.1546682882
748	0.1543206817
749	0.154110844
750	0.1537369962
751	0.1533514676
752	0.1529395116
753	0.1527557245
754	0.1523371658
755	0.1521812752
756	0.1520372672
757	0.1517199422
758	0.1512983686
759	0.1509383442
760	0.1506609992
761	0.1503731088
762	0.1500711163
763	0.1498534789
764	0.1494960059
765	0.1493843975
766	0.1490410876
767	0.1489514398
768	0.1486710327
769	0.1484073469
770	0.1482296847
771	0.1481169183
772	0.1477329001
773	0.147551025
774	0.1472668046
775	0.1470067391
776	0.1467807525
777	0.1466161286
778	0.1463349285
779	0.1461349031
780	0.1459535011
781	0.1456517402
782	0.1454301805
783	0.1452402883
784	0.1448467372
785	0.1446712277
786	0.1444716734
787	0.144137158
788	0.1438993194
789	0.1436456463
790	0.1434441895
791	0.1431638628
792	0.1429563694
793	0.1428879344
794	0.1427941331
795	0.1426064068
796	0.1423837012
797	0.1422952149
798	0.142164828
799	0.1419147644
800	0.1416005109
801	0.1414455394
802	0.1413362979
803	0.1410060683
804	0.1408948343
805	0.1405605793
806	0.1403809601
807	0.1402611734
808	0.1398546286
809	0.1396454927
810	0.1395325363
811	0.1392570491
812	0.139048143
813	0.1388059012
814	0.1385960268
815	0.1385231416
816	0.1382414159
817	0.1380727574
818	0.137943953
819	0.1378654469
820	0.1376143648
821	0.1375503803
822	0.1372726804
823	0.1370910886
824	0.1369356836
825	0.1367608147
826	0.1366880462
827	0.136628336
828	0.1363831896
829	0.136218287
830	0.1359267817
831	0.1355617433
832	0.1353696102
833	0.1350790102
834	0.1347459917
835	0.1344805083
836	0.1342349365
837	0.1338981624
838	0.1335878591
839	0.1333955691
840	0.1331997589
841	0.1331251004
842	0.1328754393
843	0.1327740512
844	0.1324700941
845	0.1323109843
846	0.1320531017
847	0.1318052812
848	0.1316863192
849	0.1315789646
850	0.1313399714
851	0.1311060843
852	0.1307699139
853	0.130597699
854	0.1304784545
855	0.1301514005
856	0.1299222852
857	0.129693578
858	0.1295515008
859	0.1294990036
860	0.1293403653
861	0.1291624018
862	0.1289902988
863	0.1286902055
864	0.1285538982
865	0.1285025343
866	0.1282916614
867	0.12798026
868	0.1278572901
869	0.1277023992
870	0.1274919925
871	0.1273168268
872	0.1271094574
873	0.1268775964
874	0.1266602994
875	0.1265785943
876	0.1263407861
877	0.1262430217
878	0.1259417483
879	0.1258382869
880	0.125657945
881	0.1255836831
882	0.1253059908
883	0.1252343837
884	0.1251298813
885	0.1250106762
886	0.1247888071
887	0.1246466091
888	0.1245789929
889	0.1244451248
890	0.1243507043
891	0.1242444039
892	0.1240191693
893	0.1239642062
894	0.1236822254
895	0.123409411
896	0.1231838332
897	0.1231197621
898	0.1228709132
899	0.1226093056
900	0.1224374213
901	0.1222113543
902	0.1220410755
903	0.1219358915
904	0.1216520716
905	0.1214155834
906	0.1213626612
907	0.1211002668
908	0.1208856217
909	0.1206126636
910	0.1205618124
911	0.1202979981
912	0.1202487199
913	0.1201454229
914	0.1200725128
915	0.1198469912
916	0.1196693903
917	0.119422954
918	0.1191302359
919	0.118909498
920	0.1186622347
921	0.1184514231
922	0.1183001134
923	0.1181123831
924	0.1178913949
925	0.1177103154
926	0.1175996186
927	0.1175091097
928	0.1173825018
929	0.1171554502
930	0.1170189027
931	0.1169063678
932	0.116805563
933	0.1167222125
934	0.1165467785
935	0.1163421175
936	0.1160913283
937	0.1158767208
938	0.1157296991
939	0.1155243435
940	0.115324191
941	0.1151769582
942	0.1150435778
943	0.1149035111
944	0.1147525278
945	0.1146881915
946	0.1145857503
947	0.1144021169
948	0.114104967
949	0.1140384846
950	0.1138893396
951	0.1138043863
952	0.1136165334
953	0.1134401577
954	0.1133524989
955	0.1132677078
956	0.1131999226
957	0.1130918465
958	0.1129549878
959	0.1127389304
960	0.1126419769
961	0.1123891919
962	0.1121998402
963	0.1120644848
964	0.1118242627
965	0.1116485056
966	0.1114501803
967	0.1113373859
968	0.1111282254
969	0.110988365
970	0.1108723938
971	0.1106916106
972	0.1105657535
973	0.1103554945
974	0.1101468068
975	0.1100776764
976	0.1100358783
977	0.1099525062
978	0.1098061977
979	0.1095813321
980	0.1093819102
981	0.1091900435
982	0.1090503014
983	0.1088850969
984	0.1087385703
985	0.1085806508
986	0.1084638998
987	0.108388128
988	0.1082623834
989	0.1081337049
990	0.1079742186
991	0.1078783593
992	0.1078057552
993	0.1076320996
994	0.1075341132
995	0.1073470711
996	0.1072533657
997	0.1071116754
998	0.1069160132
999	0.106779351
